IUs_NAME,IUs_NAME2,ADMIN0ISO3,Biannual_startyr,Biannual_endyr,Biannual,Annual,vector_control,vector_control_startyr,vector_control_endyr
Anderacha,Anderacha,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Bita (Big),Bita,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Chena,Chencha,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Shisho Ande,Shisho Ande,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Wacha,Wacha,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Cheta,Cheta,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Decha,Decha,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Goba,Goba,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Gesha (Deka),Gesha (Deka),ETH,2014,2022,2014,2004 - ,NA,NA,NA
Gewata,Gewata,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Gimbo,Gimbo,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Masha,Masha,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Sayilem,Sayilem,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Sheka,Sheka,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Yeki,Yeki,ETH,2014,2022,2014,2004 - ,NA,NA,NA
Ale,Ale,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Alge Sachi,Alge Sachi,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Darimu,Darimu,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Dedo,Dedo,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Mana Sibu,Mana Sibu,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Metu Zuria,Metu Zuria,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Seka Chekorsa,Seka Chekorsa,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Yayu,Yayu,ETH,2015,2022,2015,2004 - ,NA,NA,NA
Gurafereda,Gurafereda,ETH,2015,2022,2015,2004 - 2012,NA,NA,NA
Maji,Maji,ETH,2015,2022,2015,2004 - 2012,NA,NA,NA
Menit Shasha,Menit Shasha,ETH,2015,2022,2015,2004 - 2012,NA,NA,NA
Gori gesha,Gori gesha,ETH,2015,2022,2015,2004 - 2012,NA,NA,NA
Menit Goldiye,Menit Goldiye,ETH,2015,2022,2015,2004 - 2012,NA,NA,NA
Shey Bench,Shey Bench,ETH,2015,2022,2015,2004 - 2012,NA,NA,NA
Bedele Town,Bedele Town,ETH,2014,2022,2014,2004,NA,NA,NA
Badele Zuria,Badele Zuria,ETH,2015,2022,2015,2004 - 2014,NA,NA,NA
Bero,Bero,ETH,2015,2022,2015,2004 - 2012,NA,NA,NA
Bonga Town,Bonga Town,ETH,2014,2022,2014,2007 - ,NA,NA,NA
Masha Town,Masha Town,ETH,2014,2022,2014,2007 - ,NA,NA,NA
Semen Bench,Semen Bench,ETH,2014,2022,2014,2007 - ,NA,NA,NA
Tepi Town,Tepi Town,ETH,2014,2022,2014,2007 - ,NA,NA,NA
Becho (SW Shewa),Becho (SW Shewa),ETH,2015,2022,2015,2007 - ,NA,NA,NA
Becho (Ilu Aba Bora),Becho (Ilu Aba Bora),ETH,2015,2022,2015,2007 - ,NA,NA,NA
Bilo Nopha,Bilo Nopha,ETH,2015,2022,2015,2007 - ,NA,NA,NA
Dabo Hana,Dabo Hana,ETH,2015,2022,2015,2007 - ,NA,NA,NA
Didu,Didu,ETH,2015,2022,2015,2007 - ,NA,NA,NA
Dorani,Dorani,ETH,2015,2022,2015,2007 - ,NA,NA,NA
Hurumu,Hurumu,ETH,2015,2022,2015,2007 - ,NA,NA,NA
Mizan Aman Town,Mizan Aman Town,ETH,2015,2022,2015,2007 - 2012,NA,NA,NA
Agaro Town,Agaro Town,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Borecha,Borecha,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Bure (Oromia),Bure (Oromia),ETH,2014,2022,2014,2011 - ,NA,NA,NA
Chora (Buno Bedele),Chora (Buno Bedele),ETH,2014,2022,2014,2011 - ,NA,NA,NA
Chora (Jimma),Chora (Jimma),ETH,2014,2022,2014,2011 - ,NA,NA,NA
Dega,Dega,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Gechi,Gechi,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Gera,Gera,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Goma,Goma,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Halu (Huka),Halu (Huka),ETH,2014,2022,2014,2011 - ,NA,NA,NA
Limu Kosa,Limu Kosa,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Limu Seka,Limu Seka,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Meko,Meko,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Nono Benja,Nono Benja,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Sale Nono,Sale Nono,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Setema,Setema,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Sigmo,Sigmo,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Sekoru,Sekoru,ETH,2014,2022,2014,2011 - ,NA,NA,NA
Chwaka,Chwaka,ETH,2014,2022,2014,,NA,NA,NA
Dedesa,Dedesa,ETH,2014,2022,2014,,NA,NA,NA
Gumay,Gumay,ETH,2014,2022,2014,,NA,NA,NA
Kersa (Jimma),Kersa (Jimma),ETH,2014,2022,2014,,NA,NA,NA
Metu Town,Metu Town,ETH,2014,2022,2014,,NA,NA,NA
Omo Nada,Omo Nada,ETH,2014,2022,2014,,NA,NA,NA
Tiro Afeta,Tiro Afeta,ETH,2014,2022,2014,,NA,NA,NA
Alfa,Alfa,ETH,2015,2022,2015,2014 -,NA,NA,NA
Bambasi,Bambasi,ETH,2015,2022,2015,2014 -,NA,NA,NA
Begi,Begi,ETH,2015,2022,2015,2014 -,NA,NA,NA
Bulen,Bulen,ETH,2015,2022,2015,2014 -,NA,NA,NA
Debati,Debati,ETH,2015,2022,2015,2014 -,NA,NA,NA
