IU_ID_MAPPING,ADMIN0,co_endemicity
2050,AGO,"oncho,LF,loa hyper"
2053,AGO,"oncho,LF,loa hyper"
2072,AGO,"oncho,LF,loa hyper"
2073,AGO,"oncho,LF,loa hyper"
2074,AGO,"oncho,LF,loa hyper"
2087,AGO,"oncho,LF,loa hyper"
2088,AGO,"oncho,LF,loa hyper"
2089,AGO,"oncho,LF,loa hyper"
2197,AGO,"oncho,LF,loa hyper"
2213,AGO,"oncho,LF,loa hyper"
2049,AGO,"oncho,LF,loa meso"
2086,AGO,"oncho,LF,loa meso"
2136,AGO,"oncho,LF,loa meso"
2211,AGO,"oncho,LF,loa meso"
2062,AGO,"oncho,LF,loa hypo"
2068,AGO,"oncho,LF,loa hypo"
2085,AGO,"oncho,LF,loa hypo"
2090,AGO,"oncho,LF,loa hypo"
2092,AGO,"oncho,LF,loa hypo"
2093,AGO,"oncho,LF,loa hypo"
2094,AGO,"oncho,LF,loa hypo"
2097,AGO,"oncho,LF,loa hypo"
2106,AGO,"oncho,LF,loa hypo"
2129,AGO,"oncho,LF,loa hypo"
2132,AGO,"oncho,LF,loa hypo"
2150,AGO,"oncho,LF,loa hypo"
2154,AGO,"oncho,LF,loa hypo"
2157,AGO,"oncho,LF,loa hypo"
2159,AGO,"oncho,LF,loa hypo"
2161,AGO,"oncho,LF,loa hypo"
2166,AGO,"oncho,LF,loa hypo"
2170,AGO,"oncho,LF,loa hypo"
2173,AGO,"oncho,LF,loa hypo"
2190,AGO,"oncho,LF,loa hypo"
2202,AGO,"oncho,LF,loa hypo"
2204,AGO,"oncho,LF,loa hypo"
2205,AGO,"oncho,LF,loa hypo"
2215,AGO,"oncho,LF,loa hypo"
2217,AGO,"oncho,LF,loa hypo"
2222,AGO,"oncho,LF,loa hypo"
2063,AGO,"oncho,loa hyper"
2064,AGO,"oncho,loa hyper"
2069,AGO,"oncho,loa hyper"
2070,AGO,"oncho,loa hyper"
2076,AGO,"oncho,loa hyper"
2077,AGO,"oncho,loa hyper"
2078,AGO,"oncho,loa hyper"
2079,AGO,"oncho,loa hyper"
2082,AGO,"oncho,loa hyper"
2096,AGO,"oncho,loa hyper"
2112,AGO,"oncho,loa hyper"
2113,AGO,"oncho,loa hyper"
2065,AGO,"oncho,loa meso"
2067,AGO,"oncho,loa meso"
2071,AGO,"oncho,loa meso"
2080,AGO,"oncho,loa meso"
2081,AGO,"oncho,loa meso"
2083,AGO,"oncho,loa meso"
2114,AGO,"oncho,loa meso"
2115,AGO,"oncho,loa meso"
2116,AGO,"oncho,loa meso"
2121,AGO,"oncho,loa meso"
2124,AGO,"oncho,loa meso"
2140,AGO,"oncho,loa meso"
2208,AGO,"oncho,loa meso"
2209,AGO,"oncho,loa meso"
2210,AGO,"oncho,loa meso"
2219,AGO,"oncho,loa meso"
2051,AGO,"oncho,loa hypo"
2052,AGO,"oncho,loa hypo"
2055,AGO,"oncho,loa hypo"
2057,AGO,"oncho,loa hypo"
2066,AGO,"oncho,loa hypo"
2091,AGO,"oncho,loa hypo"
2098,AGO,"oncho,loa hypo"
2099,AGO,"oncho,loa hypo"
2100,AGO,"oncho,loa hypo"
2101,AGO,"oncho,loa hypo"
2102,AGO,"oncho,loa hypo"
2103,AGO,"oncho,loa hypo"
2104,AGO,"oncho,loa hypo"
2105,AGO,"oncho,loa hypo"
2107,AGO,"oncho,loa hypo"
2108,AGO,"oncho,loa hypo"
2110,AGO,"oncho,loa hypo"
2111,AGO,"oncho,loa hypo"
2118,AGO,"oncho,loa hypo"
2119,AGO,"oncho,loa hypo"
2120,AGO,"oncho,loa hypo"
2122,AGO,"oncho,loa hypo"
2125,AGO,"oncho,loa hypo"
2127,AGO,"oncho,loa hypo"
2130,AGO,"oncho,loa hypo"
2138,AGO,"oncho,loa hypo"
2148,AGO,"oncho,loa hypo"
2149,AGO,"oncho,loa hypo"
2151,AGO,"oncho,loa hypo"
2152,AGO,"oncho,loa hypo"
2153,AGO,"oncho,loa hypo"
2155,AGO,"oncho,loa hypo"
2156,AGO,"oncho,loa hypo"
2158,AGO,"oncho,loa hypo"
2160,AGO,"oncho,loa hypo"
2162,AGO,"oncho,loa hypo"
2163,AGO,"oncho,loa hypo"
2164,AGO,"oncho,loa hypo"
2165,AGO,"oncho,loa hypo"
2167,AGO,"oncho,loa hypo"
2168,AGO,"oncho,loa hypo"
2169,AGO,"oncho,loa hypo"
2171,AGO,"oncho,loa hypo"
2172,AGO,"oncho,loa hypo"
2174,AGO,"oncho,loa hypo"
2176,AGO,"oncho,loa hypo"
